standard_id,title,short_citation,region,applies_to,notes
ISO_25539-3,Cardiovascular implants — Endovascular devices — Part 3: Vena cava filters,ISO 25539-3:2011,Global,VC Filters;Embolic Protection,Benchmarks for implantable filters used to prevent pulmonary embolism.
ISO_10555-3,Intravascular catheters — Part 3: Central venous catheters,ISO 10555-3:2013,Global,CVCs;Catheters;PICC Lines,Particular requirements for long-term venous access devices.
ASTM_F2394,Standard Guide for Measuring Securement of a Stent on a Balloon,ASTM F2394-07,US,Stents;Balloon Catheters;Assembly,Industry-standard protocol for qualifying stent crimping/retention.
ASTM_F2081,Standard Guide for Characterization and Presentation of the Dimensional Attributes of Stents,ASTM F2081-06,US,Stents;Metrology;Metrology,"Methodology for measuring stent diameter, length, and wall thickness."
ASTM_F2606,Standard Guide for Three-Point Bending of Balloon-Expandable Vascular Stents,ASTM F2606-08,US,Stents;Mechanical Testing,Measures the flexural rigidity of the stent/delivery system.
ASTM_F2942,"Standard Guide for In vitro Axial, Bending, and Torsional Durability Testing",ASTM F2942-19,US,Vascular Stents;Fatigue Rigs,Provides protocols for accelerated long-term durability testing.
ISO_15609-4,Specification and qualification of welding procedures for metallic materials — Part 4: Laser beam welding,ISO 15609-4:2009,Global,Laser Welders;Active Implants;Assembly,Standardizes WPS for medical laser joining processes.
ISO_13919-1,"Welding — Electron and laser-beam welded joints — Part 1: Steel, nickel, and titanium",ISO 13919-1:2019,Global,Laser Welders;Surgical Tools;Implants,Defines permissible imperfection levels for high-quality welds.
ANSI_Z136.1,American National Standard for Safe Use of Lasers,ANSI Z136.1-2022,US,Lasers;Welding;Production Safety,Critical for qualifying laser enclosures and administrative controls.
ASTM_F2182,Standard Test Method for Measurement of RF Induced Heating on or near Passive Implants,ASTM F2182-19,US,Passive Implants;MRI;Metrology,Procedure for qualifying temperature rise during MRI exposure.
ISO_TS_10974,Assessment of the safety of MRI for patients with an active implantable medical device,ISO/TS 10974:2018,Global,Active Implants;MRI;Safety Testing,Four-tiered approach for validating active device safety in MRI.
ISO_21530,Dentistry — Oral healthcare products — Evaluation of resistance to chemical disinfectants,ISO 21530:2004,Global,Dental Equipment;Cleaning;Metrology,Standard for validating surface resistance to repetitive cleaning.
ISO_27185,Cardiac rhythm management devices — Symbols to be used with labels,ISO 27185:2012,Global,Pacemakers;Labeling,Specific symbols for implantable cardiac rhythm devices.
ISO_11040-4,Prefilled syringes — Part 4: Glass barrels for injectables,ISO 11040-4:2015,Global,Syringes;Filling;Packaging,Requirements for the primary container components of injectables.
USP_87,"Biological Reactivity Test, In Vitro — Direct Contact Test",USP ,US,Biocompatibility;All;Laboratory,Evaluates cellular reactivity of materials via elution and agar overlay. 
USP_88,"Biological Reactivity Test, In Vivo — Plastic Class VI Testing",USP ,US,Biocompatibility;Implants;Materials,Determines systemic and local responses to plastics and polymers. 
USP_788,Particulate Matter in Injections — Sub-visible Particulates,USP ,US,IVD Production;Filling;HCT/Ps,Methods for counting particulates in injectables and sterile liquids.
USP_643,Total Organic Carbon (TOC) — Water Monitoring,USP ,US,Utilities;WFI Systems;Pure Water,Specifies the testing methodology and limits for organic impurities.
USP_645,Water Conductivity — Sanitary Monitoring,USP ,US,Utilities;WFI Systems;Pure Water,Three-stage test for determining the ionic purity of process water. 
ASTM_F1904,Standard Practice for Testing the Biological Responses to Particles In Vivo,ASTM F1904-14,US,Biocompatibility;Implants;Metrology,Evaluates tissue reaction to wear debris from joint replacements. 
ASTM_F1147,Standard Test Method for Tension Testing of Calcium Phosphate and Metallic Coatings,ASTM F1147-05,US,Orthopedics;HA Sprayers;Coating,Mandatory protocol for qualifying implant coating adhesion strength. 
ASTM_F1044,Standard Test Method for Shear Testing of Porous Metal Coatings,ASTM F1044-05,US,Orthopedics;HA Sprayers;Sintering,Measures the static shear resistance of surface/substrate interfaces. 
ASTM_F1160,Shear and Bending Fatigue Testing of Calcium Phosphate and Metallic Coatings,ASTM F1160-14,US,Orthopedics;Fatigue Rigs;Metrology,Constant stress amplitude testing to determine coating durability.
ISO_10555-1,Intravascular catheters — Sterile and single-use catheters — Part 1: General requirements,ISO 10555-1:2013,Global,Catheters;Interventional;Forming,"Requirements for radio-detectability, tensile force, and leakage."
ISO_10555-4,Intravascular catheters — Part 4: Balloon dilatation catheters,ISO 10555-4:2023,Global,PTCA Balloons;Catheters;Assembly,Benchmarks for rated burst pressure (RBP) and deflation time.
ISO_10555-5,Intravascular catheters — Part 5: Over-needle peripheral catheters,ISO 10555-5:2024,Global,Cannulas;Needles;Peripheral Access,Specific safety for over-the-needle vascular access assemblies.
ISO_5838-1,Implants for surgery — Metallic skeletal pins and wires — Part 1: General requirements,ISO 5838-1:2013,Global,Skeletal Pins;Orthopedic;Machining,Dimensional and material benchmarks for metallic bone fasteners.
ISO_14630,Non-active surgical implants — General requirements,ISO 14630:2012,Global,All Implants;Orthopedic;Vascular,"Core requirements for marking, packaging, and biocompatibility."
ASTM_F138,Wrought 18Chromium-14Nickel-2.5Molybdenum Stainless Steel,ASTM F138-23,US,Orthopedics;Implants;Material Prep,Standard chemistry for 316LVM implant-grade stainless steel.
ASTM_F75,Cobalt-28 Chromium-6 Molybdenum Alloy Castings,ASTM F75-23,US,Orthopedics;Furnaces;Casting,Specification for Co-Cr-Mo alloys used in joint bearing surfaces.
ASTM_F1537,Wrought Cobalt-28Chromium-6Molybdenum Alloys,ASTM F1537-20,US,Orthopedics;Machining;Material Prep,Requirements for bar and wire forms used in precision screw making.
IEC_62353,Medical electrical equipment — Recurrent test and test after repair,IEC 62353:2014,Global,Active Devices;Metrology;Repair,Protocols for periodic safety testing and ground bond verification.
ISO_22441,Sterilization of health care products — VH2O2 — Requirements,ISO 22441:2022,Global,Sterilization;VHP Units;Isolators,Requirements for vaporized hydrogen peroxide (VH2O2) processes.
ASTM_D4169,Standard Practice for Performance Testing of Shipping Containers,ASTM D4169-23,US,Packaging;Logistics;PQ Studies,"Mandatory simulation of drops, vibration, and altitude for sterile kits."
ISO_10993-10,Biological evaluation of medical devices — Part 10: Tests for skin sensitization,ISO 10993-10:2021,Global,Biocompatibility;All;Laboratory,Evaluates potential for delayed hypersensitivity reactions.
ISO_10993-23,Biological evaluation of medical devices — Part 23: Tests for irritation,ISO 10993-23:2021,Global,Biocompatibility;All;Laboratory,Specific requirements for irritation testing (replaces part of -10).
ISO_11138-8,Sterilization — Biological indicators — Part 8: Method for validation of a reduced incubation time,ISO 11138-8:2021,Global,Sterilization;Validation;BIs,Protocol for shortening the wait-time for biological indicator results.
ISO_13408-2,Aseptic processing of health care products — Part 2: Sterilizing filtration,ISO 13408-2:2018,Global,Aseptic Filling;IVDs;Vial Fillers,Requirements for qualifying filters in liquid/gas sterilizing paths.
ISO_14161,"Sterilization — Biological indicators — Guidance for selection, use and interpretation of results",ISO 14161:2009,Global,Sterilization;Challenge;BIs,Technical guidance for BI application in cycle development.
ASTM_F2101,Standard Test Method for Evaluating the Bacterial Filtration Efficiency (BFE) of Medical Face Mask Materials,ASTM F2101-25,US,PPE;Masks;Laundering,Standard test using Staphylococcus aureus biological aerosols.
ASTM_F1670,Resistance of Materials Used in Protective Clothing to Penetration by Synthetic Blood,ASTM F1670-24a,US,PPE;Gowns;Cleanroom Suits,Qualifying test for barrier effectiveness against blood-borne pathogens.
ISO_7886-2,Sterile hypodermic syringes for single use — Part 2: Syringes for use with power-driven syringe pumps,ISO 7886-2:2020,Global,Syringes;Infusion Pumps;Filling,Safety/performance requirements for automated drug delivery.
ISO_1135-4,"Transfusion equipment for medical use — Part 4: Transfusion sets for single use, gravity feed",ISO 1135-4:2025,Global,Transfusion Kits;IVD;HCT/Ps,Standards for gravity-based blood and fluid delivery systems.
ASTM_F2407,Standard Specification for Surgical Gowns Intended for Use in Healthcare Facilities,ASTM F2407-23a,US,PPE;Surgical Gowns;Laundering,Defines performance levels for surgical gowns based on AAMI PB70.
ASTM_F3502,Standard Specification for Barrier Face Coverings,ASTM F3502-25,US,PPE;Masks;Environment,Requirements for non-medical masks used in public or facility settings.
ASTM_F3107,Measuring Accuracy after Mechanical Disturbances on Reference Frames of Computer Assisted Surgery Systems,ASTM F3107-14,US,Surgical Robots;Metrology,OQ test method for validating robotic surgical navigation precision.
ASTM_F3292,Standard Practice for Inspection of Spinal Implants Undergoing Testing,ASTM F3292-25,US,Orthopedics;Spinal Implants;Fatigue,Procedures for identifying cracks/wear during dynamic test cycles.
ISO_14243-3,Wear of total knee-joint prostheses — Part 3: Loading/displacement parameters for displacement control,ISO 14243-3:2014,Global,Knee Implants;Mechanical Testing,Defines the gait cycle simulation for displacement-controlled rigs.
ASTM_F3690,Standard Test Method for Evaluating Suture Anchor Insertion and Pull Displacement Resistance,ASTM F3690-24,US,Orthopedics;Suture Anchors;Metrology,PQ benchmark for validating anchor retention strength in bone.
ASTM_F732,Standard Test Method for Wear Testing of Polymeric Materials Used in Total Joint Prostheses,ASTM F732-17,US,Orthopedics;Implants;Material Lab,Evaluates long-term material wear debris (PEEK/UHMWPE).
ASTM_F2789,Standard Guide for Mechanical and Functional Characterization of Nucleus Devices,ASTM F2789-10,US,Spinal Implants;Mechanical Testing,Specialized protocols for intervertebral disc replacement devices.
ASTM_F3140,Cyclic Fatigue Testing of Metal Tibial Tray Components of Unicondylar Knee Joint Replacements,ASTM F3140-23,US,Orthopedics;Knee Implants;Fatigue,Particular requirements for partial knee replacement durability.
ISO_21536,Non-active surgical implants — Joint replacement implants — Specific requirements for knee-joint replacements,ISO 21536:2023,Global,Knee Implants;Orthopedics;Design,Core performance and safety benchmarks for all total knee systems.
ISO_11491,Implants for surgery — Determination of impact resistance of ceramic femoral heads,ISO 11491:2017,Global,Orthopedics;Hip Implants;Metrology,"Validation test for surviving surgical ""miss-hit"" impact events."
IEC_60601-2-24,Medical electrical equipment — Part 2-24: Particular requirements for basic safety of infusion pumps,IEC 60601-2-24:2012,Global,Infusion Pumps;Therapeutic,Critical for validating flow accuracy and occlusion pressure alarms.
ISO_14801,Dentistry — Implants — Dynamic loading test for endosseous dental implants,ISO 14801:2016,Global,Dental Implants;Metrology;Fatigue,Defines the flexural fatigue rig protocol for worst-case dental implants. 
USP_1229_5,Biological Indicators for Sterilization,USP <1229.5>,US,Sterilization;Validation;BIs,Detailed performance requirements for BIs used in life science labs.
USP_55,Biological Indicators — Resistance Performance Tests,USP ,US,Sterilization;Metrology;BIs,Standard methods for determining BI D-values and survival/kill times.
USP_1225,Validation of Compendial Procedures,USP ,US,Analytical Lab;Metrology,Requirements for proving analytical methods are accurate and precise.
ASTM_E2857,Standard Guide for Validating Analytical Methods,ASTM E2857-11,US,Analytical Lab;Metrology,Complementary guidance for validating non-compendial laboratory tests.
USP_61,Microbiological Examination of Nonsterile Products: Microbial Enumeration Tests,USP ,US,IVD Production;Reagents;Micro,Standard for assessing bioburden levels in non-sterile device components. 
USP_62,Microbiological Examination of Nonsterile Products: Tests for Specified Microorganisms,USP ,US,IVD Production;Reagents;Micro,Procedures for identifying pathogens like S. aureus or P. aeruginosa. 
ISO_11608-1,Needle-based injection systems for medical use — Part 1: General requirements,ISO 11608-1:2022,Global,Pen Injectors;Autoinjectors,Core requirements for automated drug delivery hardware.
ISO_11608-6,Needle-based injection systems for medical use — Part 6: On-body delivery systems,ISO 11608-6:2022,Global,Wearable Pumps;Infusion,Particular requirements for bolus injectors attached to the patient.
ISO_11608-7,Needle-based injection systems for medical use — Part 7: Accessibility for persons with visual impairment,ISO 11608-7:2016,Global,Pen Injectors;Labeling;Home Use,Standards for tactile/audible feedback validation in home devices.
ASTM_D3577,Standard Specification for Rubber Surgical Gloves,ASTM D3577-19,US,PPE;Gloves;Forming,Establishes the material and sterile integrity benchmarks for surgeons.
ASTM_D3578,Standard Specification for Rubber Examination Gloves,ASTM D3578-19,US,PPE;Gloves;Laundering,Particular requirements for non-sterile patient contact gloves.
ASTM_D5250,Standard Specification for Poly(vinyl chloride) Gloves for Medical Application,ASTM D5250-19,US,PPE;Gloves;Material Prep,Requirements for PVC/vinyl gloves used in low-risk healthcare.
ASTM_D6319,Standard Specification for Nitrile Examination Gloves for Medical Application,ASTM D6319-19,US,PPE;Gloves;Forming,Performance benchmarks for high-durability synthetic gloves.
AAMI_TIR101,Fluid Delivery Performance Testing for Infusion Pumps,AAMI TIR101:2021,US,Infusion Pumps;Metrology,Recommended framework for validating delivery accuracy below 1 mL/h.
ISO_11138-8,Sterilization — BIs — Part 8: Validation of a reduced incubation time,ISO 11138-8:2021,Global,Sterilization;Validation,Protocol for justifying 24-hour vs 7-day biological indicator results. 
ASTM_F2502,Specification and Test Methods for Absorbable Plates and Screws,ASTM F2502-17,US,Orthopedics;Bio-absorbables,Governs the degradation and mechanical testing of resorbable fixations. 
ISO_14879-1,Implants for surgery — Knee-joint prostheses — Part 1: Tibial trays,ISO 14879-1:2020,Global,Orthopedics;Knee Implants,Specific requirements for the endurance properties of tibial bases. 
ISO_22622,Health informatics — Audit trails for electronic health records,ISO 22622:2019,Global,IT Systems;LIMS;Radiology,Controls for recording all changes to sensitive clinical data sets. 
ISO_13408-1,Aseptic processing of health care products — Part 1: General requirements,ISO 13408-1:2023,Global,Aseptic Filling;Isolators;Vial Fillers,Foundational requirements for aseptic manufacturing environments.
ISO_13408-4,Aseptic processing of health care products — Part 4: Clean-in-place technologies,ISO 13408-4:2005,Global,Cleaning;CIP Skids;Vessels,Requirements for qualifying automated cleaning of fluid paths.
ISO_13408-5,Aseptic processing of health care products — Part 5: Sterilization in place,ISO 13408-5:2006,Global,Sterilization;SIP Systems;Vessels,Validation of in-situ steam sterilization for complex equipment.
ISO_14937,Sterilization of health care products — General requirements for characterization of a sterilizing agent,ISO 14937:2009,Global,Sterilization;VHP;Ozone;Liquid,Used for non-traditional agents like VHP or low-temp plasma. 
ISO_8600-1,Endoscopes — Medical endoscopes and endotherapy devices — Part 1: General requirements,ISO 8600-1:2015,Global,Endoscopes;Surgical Instruments,Core requirements for visualization devices and fiber optics.
ISO_8637,"Cardiovascular implants and extracorporeal systems — Haemodialyzers, haemodiafilters, haemofilters",ISO 8637:2010,Global,Dialysis Filters;Metrology;Assembly,Performance requirements for artificial kidney filters.
ISO_80601-2-13,Medical electrical equipment — Part 2-13: Particular requirements for anesthesia systems,ISO 80601-2-13:2022,Global,Anesthesia Machines;Respiratory,Safety requirements for anesthetic workstations and vaporizers.
ISO_80601-2-72,Medical electrical equipment — Part 2-72: Particular requirements for home-care ventilators,ISO 80601-2-72:2015,Global,Ventilators;Home Health,Safety for devices intended for use in non-professional settings.
IEC_60601-1-3,Radiation protection in diagnostic X-ray equipment,IEC 60601-1-3:2008,Global,X-Ray Systems;Cath Labs;Imaging,Requirements for filtration and stray radiation shielding.
ASTM_F2096,Detecting Gross Leaks in Packaging by Internal Pressurization (Bubble Test),ASTM F2096-11,US,Packaging;Inspection;Sterile Barrier,PQ method for whole-pouch leak detection in water baths.
ASTM_F1140,Standard Test Methods for Internal Pressurization Failure Resistance,ASTM F1140-13,US,Packaging;Burst Testers;Assembly,Measures the failure point of unrestrained medical packages.
ASTM_F2054,Burst Testing of Flexible Seals Using Internal Air Pressurization,ASTM F2054-13,US,Packaging;Burst Testers;Sealing,PQ test for seal strength using restraining plates.
ASTM_F2095,Pressure Decay Leak Test for Flexible Packages,ASTM F2095-07,US,Packaging;Leak Testers;Assembly,Quantitative non-destructive leak testing for sterile barrier systems.
USP_85,Bacterial Endotoxins Test (LAL),USP <85>,US,Sterilization;Laboratory;HCT/Ps,Critical release testing for pyrogenicity in implants.
CLSI_AUTO16,Next-Generation In Vitro Diagnostic Instrument Interface,CLSI AUTO16-Ed1,US;Global,IVD Production;Software;LIMS,Connectivity and data exchange standards for lab analyzers.
ISO_11737-3,Microbiological methods — Part 3: Guidance on evaluation and use of bioburden data,ISO 11737-3:2023,Global,Sterilization;Bioburden;Validation,Guidance for interpreting microbial data in PQ stability. 
ISO_14644-7,"Separative devices (clean air hoods, gloveboxes, isolators and mini-environments)",ISO 14644-7:2004,Global,Isolators;Gloveboxes;HCT/Ps,Qualification requirements for physical barrier systems.
ISO_15883-4,Washer-disinfectors for chemical disinfection of heat-sensitive endoscopes,ISO 15883-4:2018,Global,Cleaning;Endoscope Reprocessors,Specific validation requirements for AERs (Automated Reprocessors).
ISO_11608-2,Needle-based injection systems — Part 2: Double-ended needles,ISO 11608-2:2022,Global,Needles;Pen Injectors;Assembly,Particular requirements for pen-injector interfaces.
ISO_11608-3,Needle-based injection systems — Part 3: Containers and integrated fluid paths,ISO 11608-3:2022,Global,Filling;Cartridges;Dosing,Safety for pre-filled drug cartridges in automated injectors.
ASTM_F2026,Standard Specification for Polyetheretherketone (PEEK) Polymers for Surgical Implant Applications,ASTM F2026-17,US,PEEK;Machining;Material Forming,Primary material specification for PEEK used in spinal fusion cages.
ASTM_F648,Standard Specification for Ultra-High-Molecular-Weight Polyethylene for Surgical Implants,ASTM F648-21,US,UHMWPE;Machining;Forming,Establishes limits for orthopedic bearing surfaces (acetabular liners).
ISO_5832-1,Implants for surgery — Metallic materials — Part 1: Wrought stainless steel,ISO 5832-1:2016,Global,Orthopedics;Machining;Material Prep,Standard chemistry and tensile requirements for 316L implantable steel.
ISO_5832-2,Implants for surgery — Metallic materials — Part 2: Unalloyed titanium,ISO 5832-2:2018,Global,Orthopedics;Machining;Material Forming,Specification for Commercially Pure (CP) titanium grades 1-4.
ISO_5832-3,Implants for surgery — Metallic materials — Part 3: Wrought Ti 6-Al 4-V alloy,ISO 5832-3:2021,Global,Orthopedics;Machining;Nitinol,The primary alloy for joint replacements and dental implants.
ASTM_F2082,Standard Test Method for Determination of Transformation Temperature of Nitinol by BFR,ASTM F2082-15,US,Nitinol;Material Forming;Metrology,"The industry-standard ""Bend and Free Recovery"" method for verifying Af."
ASTM_F2063,Standard Specification for Wrought Nickel-Titanium Shape Memory Alloys for Medical Devices,ASTM F2063-24,US,Nitinol;Material Forming;Design,"Establishes purity, chemistry, and transformation temp tolerances. "
ASTM_F2516,Standard Test Method for Tension Testing of Nickel-Titanium Superelastic Materials,ASTM F2516-22,US,Nitinol;Material Forming;Lab,Defines the loading/unloading plateau measurements for stents. 
ISO_14644-3,Cleanrooms and associated controlled environments — Part 3: Test methods,ISO 14644-3:2019,Global,Facilities;HVAC;Metrology,Includes recovery tests to verify how quickly rooms return to class. 
ISO_14644-8,Cleanrooms — Part 8: Assessment of air cleanliness by chemical concentration (ACC),ISO_14644-8:2022,Global,Facilities;Utilities;HCT/Ps,Critical for qualifying environments sensitive to volatile organics.
ISO_14644-9,Cleanrooms — Part 9: Classification of surface cleanliness by particle concentration,ISO_14644-9:2022,Global,Facilities;Inspection;Metrology,Standard for validating post-wash cleanliness levels of device parts.
ISO_14644-10,Cleanrooms — Part 10: Classification of surface cleanliness by chemical concentration,ISO_14644-10:2022,Global,Facilities;Cleaning;Metrology,Used to validate residual removal (TOC/NVR) on device surfaces.
ISO_14708-3,Active implantable medical devices — Part 3: Implantable neurostimulators,ISO 14708-3:2017,Global,Active Implants;Neurostimulators,Safety/performance for deep brain and spinal cord stimulators.
ISO_14708-4,Active implantable medical devices — Part 4: Implantable infusion pumps,ISO 14708-4:2022,Global,Active Implants;Infusion Pumps,Particular requirements for internal automated drug delivery.
ISO_14708-6,Active implantable medical devices — Part 6: Hearing impairment devices,ISO 14708-6:2019,Global,Active Implants;Cochlear Implants,Standards for qualifying internal hearing assist electronics.
ISO_14708-7,Active implantable medical devices — Part 7: Implantable parts,ISO 14708-7:2019,Global,Active Implants;Leads;Connectors,Specific benchmarks for patient-contact leads and headers.
ISO_11138-4,Sterilization — Biological indicators — Part 4: Indicators for dry heat,ISO 11138-4:2017,Global,Sterilization;Ovens;BIs,Specific requirements for B. atrophaeus challenge carriers.
ISO_11138-5,Sterilization — Biological indicators — Part 5: Indicators for formaldehyde,ISO 11138-5:2017,Global,Sterilization;BIs;Chemical,Benchmarks for indicators used in low-temp vapor processes.
AAMI_TIR35,Sterilization — Radiation — Product adoption and alternative sampling plans,AAMI TIR35:2016,US,Sterilization;Gamma;E-Beam,Guidance for qualifying new products into a validated dose. 
AAMI_TIR40,Sterilization — Radiation — Guidance on dose setting utilizing Method 2,AAMI TIR40:2018,US,Sterilization;Gamma;E-Beam,Statistical methodology for low-bioburden medical parts. 
ISO_13408-7,Aseptic processing of health care products — Part 7: Alternative processes for medical devices and combination products,ISO 13408-7:2012,Global,Robotic Aseptic Filling;Isolators;IVD Production,Essential for qualifying non-traditional aseptic assembly lines.
USP_711,Physical Tests — Dissolution,USP <711>,US,Dissolution Systems;Analytical Lab;Combination Products,Core benchmark for qualifying drug-release rates of eluting devices.
USP_921,Chemical Tests — Water Determination,USP <921>,US,Karl Fischer Titrators;Analytical Lab;HCT/Ps,Standards for moisture analysis in lyophilized biological tissues.
USP_643,Chemical Tests — Total Organic Carbon,USP <643>,US,TOC Analyzers;Utilities;WFI Systems,Defines limits for organic impurities in pharmaceutical-grade water.
ISO_14644-14,Cleanrooms — Part 14: Assessment of suitability for use of equipment by airborne particle concentration,ISO 14644-14:2016,Global,Cleanroom AGVs;Robotics;Conveyors,Mandatory for qualifying automated transport systems in classified areas.
ISO_11138-1,Sterilization of health care products — Biological indicators — Part 1: General requirements,ISO 11138-1:2017,Global,BIs;Sterilization;Incubators,Foundational requirements for challenge organisms used in PQ.
ISO_11138-2,Sterilization of health care products — Biological indicators — Part 2: Indicators for ethylene oxide,ISO 11138-2:2017,Global,EtO Chambers;Sterilization;Laboratory,Particular requirements for B. atrophaeus challenge carriers.
ISO_11138-3,Sterilization of health care products — Biological indicators — Part 3: Indicators for moist heat,ISO 11138-3:2017,Global,Autoclaves;Sterilization;Incubators,Particular requirements for G. stearothermophilus carriers.
ISO_11138-7,"Sterilization — Biological indicators — Part 7: Guidance for the selection, use and interpretation of results",ISO 11138-7:2019,Global,Sterilization;Validation;Challenge,Replaces ISO 14161; critical for justifying 3-run PQ strategies. 
ISO_11138-8,Sterilization — Biological indicators — Part 8: Method for validation of a reduced incubation time,ISO 11138-8:2021,Global,Sterilization;Incubators;Release,Standard for justifying shorter quarantine periods for sterile lots. 
ISO_18472,Sterilization — Biological and chemical indicators — Test equipment,ISO 18472:2018,Global,Resistometers;Metrology;Lab,Requirements for the chambers used to characterize indicator D-values. 
ISO_15883-4,Washer-disinfectors for chemical disinfection of heat-sensitive endoscopes,ISO 15883-4:2018,Global,AERs;Endoscope Reprocessors;Cleaning,Performance benchmarks for automated endoscope reprocessing units.
AAMI_ST91,Flexible and semi-rigid endoscope processing in health care facilities,AAMI ST91:2021,US,Endoscopes;Cleaning;Reprocessing,Comprehensive US guidelines for HLD and sterile storage.
AAMI_ST108,Water for the processing of medical devices,AAMI ST108:2023,US,Utilities;Cleaning;Reprocessing,Defines water quality for device rinsing and surgical tool finishing.
IEC_62353,Medical electrical equipment — Recurrent test and test after repair,IEC 62353:2014,Global,Active Devices;Safety Safety Safety safety analyzers;Metrology,Protocols for validating grounding paths and leakage on the floor.
ASTM_F2101,Evaluating the Bacterial Filtration Efficiency (BFE) of Medical Face Mask Materials,ASTM F2101-25,US,PPE;Masks;Laundering,Uses biological aerosols to qualify respiratory barrier levels.
ASTM_F1670,Resistance of Materials Used in Protective Clothing to Penetration by Synthetic Blood,ASTM F1670-24a,US,PPE;Gowns;Cleanroom Suits,Mandatory test for qualifying surgical drapes and aseptic gear.
ASTM_F2407,Standard Specification for Surgical Gowns Intended for Use in Healthcare Facilities,ASTM F2407-23a,US,PPE;Surgical Gowns;Forming,Performance levels for barriers based on liquid penetration risk.
ASTM_F3502,Standard Specification for Barrier Face Coverings,ASTM F3502-25,US,PPE;Masks;Environment,Requirements for non-medical masks used by production personnel.
ISO_11608-2,Needle-based injection systems for medical use — Part 2: Double-ended needles,ISO 11608-2:2022,Global,Pen Injectors;Needles;Therapeutic,Performance requirements for the automated needle-to-pen interface.
CLSI_EP05,Evaluation of Precision of Quantitative Measurement Procedures,CLSI EP05-A3,US;Global,IVD Production;Laboratory;Analyzers,Foundational for establishing within-site precision for diagnostic assays. 
CLSI_EP06,Evaluation of Linearity of Quantitative Measurement Procedures,CLSI EP06-Ed2,US;Global,IVD Production;Laboratory;Analyzers,Guidance for validating the analytical measuring interval (AMI). 
CLSI_EP07,Interference Testing in Clinical Chemistry,CLSI EP07-Ed3,US;Global,IVD Production;Laboratory;Reagents,Evaluates the effect of substances like lipids or drugs on test results. 
CLSI_EP17,Evaluation of Detection Capability for Clinical Laboratory Procedures,CLSI EP17-Ed2,US;Global,IVD Production;Laboratory;Reagents,"Standard for defining Limit of Blank (LoB), Detection (LoD), and Quantitation (LoQ). "
CLSI_EP09,Measurement Procedure Comparison and Bias Estimation Using Patient Samples,CLSI EP09-A3,US;Global,IVD Production;Laboratory;Analyzers,Required for verifying bias when changing instruments or reagent lots. 
CLSI_EP12,"Evaluation of Qualitative, Binary Output Examination Performance",CLSI EP12-A2,US;Global,IVD Production;Laboratory;LFA,"Methodology for validating ""Yes/No"" qualitative assays. "
USP_232,Elemental Impurities — Limits,USP ,US,Biocomp;Materials;Analytical Lab,Sets PDE limits for toxic elements in medical components.
USP_233,Elemental Impurities — Procedures,USP ,US,Biocomp;Materials;Analytical Lab,Defines validation requirements for ICP-MS and ICP-OES procedures.
ICH_Q3D,Guideline for Elemental Impurities,ICH Q3D(R2),Global,Biocomp;Risk Management;Materials,Harmonized global framework for controlling elemental contamination risk. 
USP_858,Raman Spectroscopy,USP ,US,Metrology;Raw Material ID;Lab,Requirements for wavelength accuracy and linearity in Raman systems.
USP_1858,Raman Spectroscopy — Theory and Practice,USP ,US,Metrology;Raw Material ID;Lab,Informational guidance on scattering theory and chemometric models.
ASTM_F3127,Validating Cleaning Processes Used During Manufacture of Medical Devices,ASTM F3127-16,US,Cleaning;Washer-Disinfectors;Reprocessing,Provides a lifecycle approach to medical cleaning validation. 
IPC_A_600,Acceptability of Printed Boards,IPC-A-600K,Global,Electronics;PCBs;Active Implants,Visual and structural acceptance standards for bare medical circuit boards.
IPC_7530,Guidelines for Temperature Profiling for Mass Soldering Processes,IPC-7530A,Global,Electronics;Reflow Ovens;Assembly,Methodology for establishing baseline profiles in SMT reflow ovens.
ASTM_F3320,Coating Characterization of Drug Coated Balloons,ASTM F3320-18,US,Cardiovascular;Coating;Balloons,Benchmark for validating drug load and particulate release consistency.
ISO_21474-2,IVD medical devices — Multiplex molecular testing — Part 2: Validation,ISO 21474-2:2022,Global,IVD Production;Molecular Testing,Requirements for simultaneous detection of multiple nucleic acid targets.
IEC_81001-5-1,Health software and health IT systems — Part 5-1: Security,IEC 81001-5-1:2021,Global,Software;Cybersecurity;IT Systems,First international standard for secure software development life cycles.
IEC_82304-1,Health software — Part 1: General requirements for product safety,IEC 82304-1:2016,Global,Software;Mobile Apps;Cloud Systems,Safety and validation requirements for standalone medical software (SaMD).
ASTM_E2859,Size Measurement of Nanoparticles Using Atomic Force Microscopy,ASTM E2859-11,US,Metrology;Nanotechnology;Implants,Used to qualify nano-scale surface features on osseointegrated implants.
21_CFR_892_2050,Medical image management and processing system (MIMPS),21 CFR 892.2050,US,Radiology;Imaging Systems;Software,"FDA regulation for software used to store, transfer, and display images."
ISO_15004-1,Ophthalmic instruments — Fundamental requirements and test methods — Part 1: General requirements,ISO 15004-1:2020,Global,Ophthalmic;Design;Test Equipment,"Core requirements for design, performance, and environmental conditions."
ISO_15004-2,Ophthalmic instruments — Fundamental requirements and test methods — Part 2: Light hazard protection,ISO 15004-2:2024,Global,Ophthalmic;Lasers;Safety,Benchmarks for optical radiation safety to prevent retinal damage.
